conference	paper_title	doi	author	author_url	author_position
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Salton Award Keynote: Information Interaction in Context	10.1145/3209978.3210230	Kalervo P. Jarvelin	https://dl.acm.org/author_page.cfm?id=81100546351	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	"Data Science for Social Good and Public Policy: Examples, Opportunities, and Challenges"	10.1145/3209978.3210231	Rayid Ghani	https://dl.acm.org/author_page.cfm?id=81100427240	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Session details: Session 1A: New IR Applications	10.1145/3258668	Debora Donato	https://dl.acm.org/author_page.cfm?id=99659281885	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Neural Compatibility Modeling with Attentive Knowledge Distillation	10.1145/3209978.3209996	Xuemeng Song	https://dl.acm.org/author_page.cfm?id=99658613490	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Neural Compatibility Modeling with Attentive Knowledge Distillation	10.1145/3209978.3209996	Fuli Feng	https://dl.acm.org/author_page.cfm?id=99659190553	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Neural Compatibility Modeling with Attentive Knowledge Distillation	10.1145/3209978.3209996	Xianjing Han	https://dl.acm.org/author_page.cfm?id=99659281487	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Neural Compatibility Modeling with Attentive Knowledge Distillation	10.1145/3209978.3209996	Xin Yang	https://dl.acm.org/author_page.cfm?id=99659280850	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Neural Compatibility Modeling with Attentive Knowledge Distillation	10.1145/3209978.3209996	Wei Liu	https://dl.acm.org/author_page.cfm?id=99659192512	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Neural Compatibility Modeling with Attentive Knowledge Distillation	10.1145/3209978.3209996	Liqiang Nie	https://dl.acm.org/author_page.cfm?id=81466646445	6
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Attentive Moment Retrieval in Videos	10.1145/3209978.3210003	Meng Liu	https://dl.acm.org/author_page.cfm?id=99659214454	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Attentive Moment Retrieval in Videos	10.1145/3209978.3210003	Xiang Wang	https://dl.acm.org/author_page.cfm?id=99659076634	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Attentive Moment Retrieval in Videos	10.1145/3209978.3210003	Liqiang Nie	https://dl.acm.org/author_page.cfm?id=81466646445	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Attentive Moment Retrieval in Videos	10.1145/3209978.3210003	Xiangnan He	https://dl.acm.org/author_page.cfm?id=99659048131	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Attentive Moment Retrieval in Videos	10.1145/3209978.3210003	Baoquan Chen	https://dl.acm.org/author_page.cfm?id=99659213379	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Attentive Moment Retrieval in Videos	10.1145/3209978.3210003	Tat-Seng Chua	https://dl.acm.org/author_page.cfm?id=81100547902	6
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Enhancing Person-Job Fit for Talent Recruitment: An Ability-aware Neural Network Approach	10.1145/3209978.3210025	Chuan Qin	https://dl.acm.org/author_page.cfm?id=99659281492	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Enhancing Person-Job Fit for Talent Recruitment: An Ability-aware Neural Network Approach	10.1145/3209978.3210025	Hengshu Zhu	https://dl.acm.org/author_page.cfm?id=81490670832	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Enhancing Person-Job Fit for Talent Recruitment: An Ability-aware Neural Network Approach	10.1145/3209978.3210025	Tong Xu	https://dl.acm.org/author_page.cfm?id=99659281160	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Enhancing Person-Job Fit for Talent Recruitment: An Ability-aware Neural Network Approach	10.1145/3209978.3210025	Chen Zhu	https://dl.acm.org/author_page.cfm?id=99658697285	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Enhancing Person-Job Fit for Talent Recruitment: An Ability-aware Neural Network Approach	10.1145/3209978.3210025	Liang Jiang	https://dl.acm.org/author_page.cfm?id=99659280378	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Enhancing Person-Job Fit for Talent Recruitment: An Ability-aware Neural Network Approach	10.1145/3209978.3210025	Enhong Chen	https://dl.acm.org/author_page.cfm?id=81548023581	6
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Enhancing Person-Job Fit for Talent Recruitment: An Ability-aware Neural Network Approach	10.1145/3209978.3210025	Hui Xiong	https://dl.acm.org/author_page.cfm?id=81451596433	7
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Cross-Modal Retrieval in the Cooking Context: Learning Semantic Text-Image Embeddings	10.1145/3209978.3210036	Micael Carvalho	https://dl.acm.org/author_page.cfm?id=99659280413	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Cross-Modal Retrieval in the Cooking Context: Learning Semantic Text-Image Embeddings	10.1145/3209978.3210036	Rémi Cadène	https://dl.acm.org/author_page.cfm?id=99659280869	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Cross-Modal Retrieval in the Cooking Context: Learning Semantic Text-Image Embeddings	10.1145/3209978.3210036	David Picard	https://dl.acm.org/author_page.cfm?id=81330496368	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Cross-Modal Retrieval in the Cooking Context: Learning Semantic Text-Image Embeddings	10.1145/3209978.3210036	Laure Soulier	https://dl.acm.org/author_page.cfm?id=81502808955	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Cross-Modal Retrieval in the Cooking Context: Learning Semantic Text-Image Embeddings	10.1145/3209978.3210036	Nicolas Thome	https://dl.acm.org/author_page.cfm?id=81323497063	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Cross-Modal Retrieval in the Cooking Context: Learning Semantic Text-Image Embeddings	10.1145/3209978.3210036	Matthieu Cord	https://dl.acm.org/author_page.cfm?id=81100523625	6
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Session details: Session 1B: Log Analysis	10.1145/3258669	Paul Bennett	https://dl.acm.org/author_page.cfm?id=99658621727	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	A Click Sequence Model for Web Search	10.1145/3209978.3210004	Alexey Borisov	https://dl.acm.org/author_page.cfm?id=99659006439	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	A Click Sequence Model for Web Search	10.1145/3209978.3210004	Martijn Wardenaar	https://dl.acm.org/author_page.cfm?id=99659281357	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	A Click Sequence Model for Web Search	10.1145/3209978.3210004	Ilya Markov	https://dl.acm.org/author_page.cfm?id=81384601729	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	A Click Sequence Model for Web Search	10.1145/3209978.3210004	Maarten de Rijke	https://dl.acm.org/author_page.cfm?id=81335489572	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Understanding and Evaluating User Satisfaction with Music Discovery	10.1145/3209978.3210049	Jean Garcia-Gathright	https://dl.acm.org/author_page.cfm?id=99658713032	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Understanding and Evaluating User Satisfaction with Music Discovery	10.1145/3209978.3210049	Brian St. Thomas	https://dl.acm.org/author_page.cfm?id=99659281439	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Understanding and Evaluating User Satisfaction with Music Discovery	10.1145/3209978.3210049	Christine Hosey	https://dl.acm.org/author_page.cfm?id=99659280673	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Understanding and Evaluating User Satisfaction with Music Discovery	10.1145/3209978.3210049	Zahra Nazari	https://dl.acm.org/author_page.cfm?id=99658976302	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Understanding and Evaluating User Satisfaction with Music Discovery	10.1145/3209978.3210049	Fernando Diaz	https://dl.acm.org/author_page.cfm?id=81100278520	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Identifying Users behind Shared Accounts in Online Streaming Services	10.1145/3209978.3210054	Jyun-Yu Jiang	https://dl.acm.org/author_page.cfm?id=99658617217	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Identifying Users behind Shared Accounts in Online Streaming Services	10.1145/3209978.3210054	Cheng-Te Li	https://dl.acm.org/author_page.cfm?id=99659281587	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Identifying Users behind Shared Accounts in Online Streaming Services	10.1145/3209978.3210054	Yian Chen	https://dl.acm.org/author_page.cfm?id=99659281863	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Identifying Users behind Shared Accounts in Online Streaming Services	10.1145/3209978.3210054	Wei Wang	https://dl.acm.org/author_page.cfm?id=99659192376	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Predicting User Knowledge Gain in Informational Search Sessions	10.1145/3209978.3210064	Ran Yu	https://dl.acm.org/author_page.cfm?id=99659043273	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Predicting User Knowledge Gain in Informational Search Sessions	10.1145/3209978.3210064	Ujwal Gadiraju	https://dl.acm.org/author_page.cfm?id=83458903457	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Predicting User Knowledge Gain in Informational Search Sessions	10.1145/3209978.3210064	Peter Holtz	https://dl.acm.org/author_page.cfm?id=81553840156	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Predicting User Knowledge Gain in Informational Search Sessions	10.1145/3209978.3210064	Markus Rokicki	https://dl.acm.org/author_page.cfm?id=99658654885	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Predicting User Knowledge Gain in Informational Search Sessions	10.1145/3209978.3210064	Philipp Kemkes	https://dl.acm.org/author_page.cfm?id=99658744027	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Predicting User Knowledge Gain in Informational Search Sessions	10.1145/3209978.3210064	Stefan Dietze	https://dl.acm.org/author_page.cfm?id=81332496259	6
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Session details: Session 1C: Prediction	10.1145/3258670	Alistair Moffat	https://dl.acm.org/author_page.cfm?id=81100200925	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Dynamic Shard Cutoff Prediction for Selective Search	10.1145/3209978.3210005	Hafeezul Rahman Mohammad	https://dl.acm.org/author_page.cfm?id=99659280674	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Dynamic Shard Cutoff Prediction for Selective Search	10.1145/3209978.3210005	Keyang Xu	https://dl.acm.org/author_page.cfm?id=99659280795	2
