conference	paper_title	doi	author	author_url	author_position
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Tangible Interactive Upper Limb Training Device	10.1145/3197391.3205403	Zou Yang	https://dl.acm.org/author_page.cfm?id=99659276458	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Tangible Interactive Upper Limb Training Device	10.1145/3197391.3205403	Sun Jie	https://dl.acm.org/author_page.cfm?id=99659277530	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Tangible Interactive Upper Limb Training Device	10.1145/3197391.3205403	Lu Shiqi	https://dl.acm.org/author_page.cfm?id=99659276752	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Tangible Interactive Upper Limb Training Device	10.1145/3197391.3205403	Cai Ping	https://dl.acm.org/author_page.cfm?id=99659277215	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Tangible Interactive Upper Limb Training Device	10.1145/3197391.3205403	Niu Shengjia	https://dl.acm.org/author_page.cfm?id=99659276346	5
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Augmented Reality Approaches to Real-Time Captioning: A Preliminary Autoethnographic Study	10.1145/3197391.3205404	Dhruv Jain	https://dl.acm.org/author_page.cfm?id=99658697222	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Augmented Reality Approaches to Real-Time Captioning: A Preliminary Autoethnographic Study	10.1145/3197391.3205404	Bonnie Chinh	https://dl.acm.org/author_page.cfm?id=99659261848	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Augmented Reality Approaches to Real-Time Captioning: A Preliminary Autoethnographic Study	10.1145/3197391.3205404	Leah Findlater	https://dl.acm.org/author_page.cfm?id=81100170743	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Augmented Reality Approaches to Real-Time Captioning: A Preliminary Autoethnographic Study	10.1145/3197391.3205404	Raja Kushalnagar	https://dl.acm.org/author_page.cfm?id=81472654980	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Augmented Reality Approaches to Real-Time Captioning: A Preliminary Autoethnographic Study	10.1145/3197391.3205404	Jon Froehlich	https://dl.acm.org/author_page.cfm?id=81331492504	5
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	MaxiFab: Applied Fabrication to Advance Period Technologies	10.1145/3197391.3205405	Joselyn McDonald	https://dl.acm.org/author_page.cfm?id=99659277053	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	MaxiFab: Applied Fabrication to Advance Period Technologies	10.1145/3197391.3205405	Siyan Zhao	https://dl.acm.org/author_page.cfm?id=99658638958	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	MaxiFab: Applied Fabrication to Advance Period Technologies	10.1145/3197391.3205405	Jen Liu	https://dl.acm.org/author_page.cfm?id=99659145388	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	MaxiFab: Applied Fabrication to Advance Period Technologies	10.1145/3197391.3205405	Michael L. Rivera	https://dl.acm.org/author_page.cfm?id=99659160837	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Country Road Finder: Exploring Beauty when Driving Around	10.1145/3197391.3205406	Satomi Manzaki	https://dl.acm.org/author_page.cfm?id=99659276839	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Country Road Finder: Exploring Beauty when Driving Around	10.1145/3197391.3205406	Ayame Kano	https://dl.acm.org/author_page.cfm?id=99659277280	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Country Road Finder: Exploring Beauty when Driving Around	10.1145/3197391.3205406	Narihiro Haneda	https://dl.acm.org/author_page.cfm?id=99659276647	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Country Road Finder: Exploring Beauty when Driving Around	10.1145/3197391.3205406	Chihiro Sato	https://dl.acm.org/author_page.cfm?id=81467656183	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Country Road Finder: Exploring Beauty when Driving Around	10.1145/3197391.3205406	Naohito Okude	https://dl.acm.org/author_page.cfm?id=81502680326	5
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Neither One is Enough: Exploring the Use of Wrist-worn Activity Trackers to Assist Acute Psychiatric Healthcare	10.1145/3197391.3205407	Ya-Fang Lin	https://dl.acm.org/author_page.cfm?id=99659020056	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Neither One is Enough: Exploring the Use of Wrist-worn Activity Trackers to Assist Acute Psychiatric Healthcare	10.1145/3197391.3205407	Yi-Ju Chung	https://dl.acm.org/author_page.cfm?id=99659276405	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Neither One is Enough: Exploring the Use of Wrist-worn Activity Trackers to Assist Acute Psychiatric Healthcare	10.1145/3197391.3205407	Chuang-Wen You	https://dl.acm.org/author_page.cfm?id=81100560472	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Neither One is Enough: Exploring the Use of Wrist-worn Activity Trackers to Assist Acute Psychiatric Healthcare	10.1145/3197391.3205407	Yaliang Chuang	https://dl.acm.org/author_page.cfm?id=99659178340	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Neither One is Enough: Exploring the Use of Wrist-worn Activity Trackers to Assist Acute Psychiatric Healthcare	10.1145/3197391.3205407	Bo-Fu Liu	https://dl.acm.org/author_page.cfm?id=99659276518	5
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Neither One is Enough: Exploring the Use of Wrist-worn Activity Trackers to Assist Acute Psychiatric Healthcare	10.1145/3197391.3205407	Huming Chang	https://dl.acm.org/author_page.cfm?id=99659277079	6
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Neither One is Enough: Exploring the Use of Wrist-worn Activity Trackers to Assist Acute Psychiatric Healthcare	10.1145/3197391.3205407	Ming-Chyi Huang	https://dl.acm.org/author_page.cfm?id=81558130056	7
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Bod-IDE: An Augmented Reality Sandbox for eFashion Garments	10.1145/3197391.3205408	Kevin Ta	https://dl.acm.org/author_page.cfm?id=99659020803	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Bod-IDE: An Augmented Reality Sandbox for eFashion Garments	10.1145/3197391.3205408	Ehud Sharlin	https://dl.acm.org/author_page.cfm?id=81502668086	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Bod-IDE: An Augmented Reality Sandbox for eFashion Garments	10.1145/3197391.3205408	Lora Oehlberg	https://dl.acm.org/author_page.cfm?id=81436599468	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Placing Music in Space: A Study on Music Appreciation with Spatial Mapping	10.1145/3197391.3205409	Shoki Miyagawa	https://dl.acm.org/author_page.cfm?id=99659277111	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Placing Music in Space: A Study on Music Appreciation with Spatial Mapping	10.1145/3197391.3205409	Yuki Koyama	https://dl.acm.org/author_page.cfm?id=81551575156	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Placing Music in Space: A Study on Music Appreciation with Spatial Mapping	10.1145/3197391.3205409	Jun Kato	https://dl.acm.org/author_page.cfm?id=81416606592	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Placing Music in Space: A Study on Music Appreciation with Spatial Mapping	10.1145/3197391.3205409	Masataka Goto	https://dl.acm.org/author_page.cfm?id=81100017919	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Placing Music in Space: A Study on Music Appreciation with Spatial Mapping	10.1145/3197391.3205409	Shigeo Morishima	https://dl.acm.org/author_page.cfm?id=99659277482	5
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	SilverCycling: Evaluating Persuasive Strategies to Promote Physical Activity among Older Adults	10.1145/3197391.3205410	Maximilian Altmeyer	https://dl.acm.org/author_page.cfm?id=87959418257	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	SilverCycling: Evaluating Persuasive Strategies to Promote Physical Activity among Older Adults	10.1145/3197391.3205410	Pascal Lessel	https://dl.acm.org/author_page.cfm?id=81549258456	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	SilverCycling: Evaluating Persuasive Strategies to Promote Physical Activity among Older Adults	10.1145/3197391.3205410	Seyedmostafa Hosseini	https://dl.acm.org/author_page.cfm?id=99659276830	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	SilverCycling: Evaluating Persuasive Strategies to Promote Physical Activity among Older Adults	10.1145/3197391.3205410	Antonio Krueger	https://dl.acm.org/author_page.cfm?id=99659235222	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Explorations on Reciprocal Interplay in Things Ecology	10.1145/3197391.3205411	David Chung	https://dl.acm.org/author_page.cfm?id=99658760894	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Explorations on Reciprocal Interplay in Things Ecology	10.1145/3197391.3205411	Mathias Funk	https://dl.acm.org/author_page.cfm?id=81343492899	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Explorations on Reciprocal Interplay in Things Ecology	10.1145/3197391.3205411	Rung-Huei Liang	https://dl.acm.org/author_page.cfm?id=99659177680	3
